constituency_name,region,intl_students_firstyear,gross_benefit,costs,net_benefit,net_benefit_per_resident,region_impact,boundary_note
Greenwich and Woolwich,London,1545,171097078.45,21339289.49,149757788.95,1280,9591194979.52,pre-2024 boundaries
Guildford,South East,1690,192432809.17,18283199.45,174149609.72,1710,3571691172.66,pre-2024 boundaries
Hackney North and Stoke Newington,London,870,96589864.92,12046722.88,84543142.04,730,9591194979.52,pre-2024 boundaries
Hackney South and Shoreditch,London,1425,158230021.73,19734505.53,138495516.21,1230,9591194979.52,pre-2024 boundaries
Halesowen,West Midlands,165,18602937.42,1721548.03,16881389.39,180,3089054238.61,pre-2024 boundaries
Halifax,Yorkshire and the Humber,235,24471806.36,2331281.17,22140525.19,210,2934649994.01,pre-2024 boundaries
Hamble Valley,South East,70,7769944.46,738228.81,7031715.64,70,3571691172.66,pre-2024 boundaries
Hamilton and Clyde Valley,Scotland,455,49029669.41,5534692.03,43494977.38,450,4211398343.47,pre-2024 boundaries
Hammersmith and Chiswick,London,1495,165837234.32,20683279.83,145153954.49,1250,9591194979.52,pre-2024 boundaries
Hampstead and Highgate,London,1215,134625927.83,16790594.4,117835333.43,1010,9591194979.52,pre-2024 boundaries
"Harborough, Oadby and Wigston",East Midlands,305,35203303.79,3144914.72,32058389.07,320,2527384329.97,pre-2024 boundaries
Harlow,East of England,350,36383222.8,3674132.75,32709090.05,290,2304881140.55,pre-2024 boundaries
Harpenden and Berkhamsted,East of England,110,11291345.01,1140248.1,10151096.91,110,2304881140.55,pre-2024 boundaries
Harrogate and Knaresborough,Yorkshire and the Humber,160,16295069.15,1552332.81,14742736.34,150,2934649994.01,pre-2024 boundaries
Harrow East,London,1335,148188501.12,18482123.45,129706377.68,1100,9591194979.52,pre-2024 boundaries
Harrow West,London,1510,167271737.26,20862191.56,146409545.7,1210,9591194979.52,pre-2024 boundaries
Hartlepool,North East,140,14629124.29,1367671.14,13261453.14,140,1787629850.23,pre-2024 boundaries
Harwich and North Essex,East of England,495,51195524.85,5169942.08,46025582.77,470,2304881140.55,pre-2024 boundaries
Hastings and Rye,South East,175,19847140.73,1885693.16,17961447.57,170,3571691172.66,pre-2024 boundaries
Havant,South East,75,8403363.84,798410.51,7604953.33,80,3571691172.66,pre-2024 boundaries
Hayes and Harlington,London,1445,160012282.97,19956789.79,140055493.18,1110,9591194979.52,pre-2024 boundaries
Hazel Grove,North West,70,8573017.08,836428.84,7736588.24,80,3042886993.32,pre-2024 boundaries
Hemel Hempstead,East of England,305,31243434.93,3155095.09,28088339.84,270,2304881140.55,pre-2024 boundaries
Hendon,London,1900,210480704.74,26251229.61,184229475.13,1410,9591194979.52,pre-2024 boundaries
Henley and Thame,South East,115,13259579.13,1259803.52,11999775.61,130,3571691172.66,pre-2024 boundaries
Hereford and South Herefordshire,West Midlands,115,12960340.29,1199372.33,11760967.96,120,3089054238.61,pre-2024 boundaries
Herne Bay and Sandwich,South East,85,9627974.65,914761.79,8713212.86,90,3571691172.66,pre-2024 boundaries
Hertford and Stortford,East of England,165,16997723.67,1716502.51,15281221.16,140,2304881140.55,pre-2024 boundaries
Hertsmere,East of England,485,50102814.05,5059595.49,45043218.55,420,2304881140.55,pre-2024 boundaries
Hexham,North East,90,9288332.88,868362.63,8419970.25,90,1787629850.23,pre-2024 boundaries
Heywood and Middleton North,North West,275,33242311.13,3243295.51,29999015.62,300,3042886993.32,pre-2024 boundaries
High Peak,East Midlands,60,6849283.71,611886.13,6237397.59,70,2527384329.97,pre-2024 boundaries
Hinckley and Bosworth,East Midlands,80,9417765.11,841343.42,8576421.68,90,2527384329.97,pre-2024 boundaries
Hitchin,East of England,110,11210403.47,1132074.27,10078329.19,100,2304881140.55,pre-2024 boundaries
Holborn and St Pancras,London,3950,438131975.02,54643978.35,383487996.66,3620,9591194979.52,pre-2024 boundaries
Honiton and Sidmouth,South West,60,7369022.71,673806.09,6695216.61,70,2156405285.39,pre-2024 boundaries
Hornchurch and Upminster,London,375,41426706.24,5166753.78,36259952.46,340,9591194979.52,pre-2024 boundaries
Hornsey and Friern Barnet,London,675,74681092.68,9314252.88,65366839.79,630,9591194979.52,pre-2024 boundaries
Horsham,South East,120,13597402.8,1291900.42,12305502.38,120,3571691172.66,pre-2024 boundaries
Houghton and Sunderland South,North East,110,11533013.33,1078216.93,10454796.39,100,1787629850.23,pre-2024 boundaries
Hove and Portslade,South East,435,49744535.7,4726269.25,45018266.46,440,3571691172.66,pre-2024 boundaries
Huddersfield,Yorkshire and the Humber,1570,162483449.41,15478816.76,147004632.65,1310,2934649994.01,pre-2024 boundaries
Huntingdon,East of England,190,19547382.22,1973977.89,17573404.33,160,2304881140.55,pre-2024 boundaries
Hyndburn,North West,80,9841473.69,960186.17,8881287.52,90,3042886993.32,pre-2024 boundaries
Ilford North,London,1190,131930801.09,16454457.22,115476343.87,970,9591194979.52,pre-2024 boundaries
Ilford South,London,1705,189223979.29,23600083.12,165623896.17,1260,9591194979.52,pre-2024 boundaries
Inverclyde and Renfrewshire West,Scotland,620,66544187.37,7511810.46,59032376.91,660,4211398343.47,pre-2024 boundaries
"Inverness, Skye and West Ross-shire",Scotland,305,32979269.98,3722849.96,29256420.02,280,4211398343.47,pre-2024 boundaries
Ipswich,East of England,415,42858546.1,4328038.47,38530507.63,340,2304881140.55,pre-2024 boundaries
Isle of Wight East,South East,35,4138339.98,393187.08,3745152.9,50,3571691172.66,pre-2024 boundaries
Isle of Wight West,South East,35,3884972.23,369114.41,3515857.82,50,3571691172.66,pre-2024 boundaries
Islington North,London,1210,134104290.4,16725535.59,117378754.81,1070,9591194979.52,pre-2024 boundaries
Islington South and Finsbury,London,2395,265469984.27,33109512.43,232360471.83,2000,9591194979.52,pre-2024 boundaries
Jarrow and Gateshead East,North East,250,26394345.93,2467597.14,23926748.79,260,1787629850.23,pre-2024 boundaries
Keighley and Ilkley,Yorkshire and the Humber,155,16236663.89,1546768.89,14689894.99,150,2934649994.01,pre-2024 boundaries
Kenilworth and Southam,West Midlands,470,53604672.76,4960669.21,48644003.55,520,3089054238.61,pre-2024 boundaries
Kensington and Bayswater,London,3065,339846788.44,42385814.34,297460974.1,2240,9591194979.52,pre-2024 boundaries
Kettering,East Midlands,230,26238800.11,2344063.76,23894736.35,220,2527384329.97,pre-2024 boundaries
Kilmarnock and Loudoun,Scotland,520,55728011.7,6290831.37,49437180.34,520,4211398343.47,pre-2024 boundaries
Kingston and Surbiton,London,1315,145623783.74,18162250.97,127461532.77,1110,9591194979.52,pre-2024 boundaries
Kingston upon Hull East,Yorkshire and the Humber,210,21726758.87,2069777.08,19656981.79,190,2934649994.01,pre-2024 boundaries
Kingston upon Hull North and Cottingham,Yorkshire and the Humber,1150,119146742.2,11350390.44,107796351.76,930,2934649994.01,pre-2024 boundaries
Kingston upon Hull West and Haltemprice,Yorkshire and the Humber,385,39832391.26,3794591.31,36037799.95,340,2934649994.01,pre-2024 boundaries
Kingswinford and South Staffordshire,West Midlands,30,3702954.37,342677.81,3360276.56,40,3089054238.61,pre-2024 boundaries
Knowsley,North West,95,11284889.83,1101013.48,10183876.35,110,3042886993.32,pre-2024 boundaries
Lagan Valley,Northern Ireland,340,29735136.68,3906244.02,25828892.66,230,952763278.06,pre-2024 boundaries
Lancaster and Wyre,North West,1270,154970405.7,15119731.58,139850674.12,1440,3042886993.32,pre-2024 boundaries
Leeds Central and Headingley,Yorkshire and the Humber,5585,577861699.67,55049393.62,522812306.04,4930,2934649994.01,pre-2024 boundaries
Leeds East,Yorkshire and the Humber,725,74875550.73,7132941.44,67742609.29,600,2934649994.01,pre-2024 boundaries
Leeds North East,Yorkshire and the Humber,600,62260013.33,5931135.4,56328877.93,590,2934649994.01,pre-2024 boundaries
Leeds North West,Yorkshire and the Humber,210,21785164.14,2075341.0,19709823.14,210,2934649994.01,pre-2024 boundaries
Leeds South,Yorkshire and the Humber,1635,169024839.18,16101975.45,152922863.72,1230,2934649994.01,pre-2024 boundaries
Leeds South West and Morley,Yorkshire and the Humber,235,24296590.57,2314589.42,21982001.14,230,2934649994.01,pre-2024 boundaries
Leeds West and Pudsey,Yorkshire and the Humber,470,48768396.93,4645870.6,44122526.33,440,2934649994.01,pre-2024 boundaries
